Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
30/09/2011,16.1,7.4,13.5,15.4,-6.7,15.7,208.8,15,23,13,19,No data,No data,33,No data,No data,No data,No data,No data,34,21,No data,32,23,No data,No data,No data,37,29,31,33,No data,25,33,No data,35,28,22,29,35,23,27,28,24,No data,41,27,31,34,No data,25,No data
01/10/2011,21.5,0,2.3,2.3,-12.9,6.9,178.8,0,9,20,8,20,No data,29,No data,No data,No data,No data,No data,39,27,No data,25,22,No data,No data,No data,38,23,31,36,No data,28,32,No data,42,30,24,26,33,30,29,31,25,No data,43,34,31,33,No data,26,No data
02/10/2011,16.7,8.5,4.8,9.8,-19.2,13.7,240.6,5,4,2,No data,18,No data,29,No data,No data,No data,No data,No data,35,10,No data,25,18,36,No data,No data,32,17,24,29,No data,27,28,No data,34,27,17,34,27,33,22,22,28,No data,29,19,29,33,No data,28,No data
03/10/2011,7.2,31.5,10.2,33.2,7.5,33.4,252,16,6,3,No data,18,No data,26,No data,No data,No data,No data,No data,27,10,No data,21,18,No data,No data,No data,23,27,23,23,No data,16,9,No data,20,22,18,26,28,15,22,25,15,No data,30,23,23,14,No data,10,No data
04/10/2011,8.2,24.6,1,24.6,-27.4,28.2,267.8,6,6,2,8,5,No data,7,No data,No data,No data,No data,No data,11,10,No data,11,5,11,No data,No data,12,11,8,10,No data,8,6,No data,8,8,4,7,10,10,7,10,8,No data,11,10,10,10,No data,5,No data
05/10/2011,5.5,29,6.7,29.8,17.3,31,256.9,16,4,0,3,2,No data,6,No data,No data,No data,No data,No data,7,6,No data,6,2,8,No data,No data,8,11,5,6,No data,3,4,No data,6,4,2,4,8,5,4,7,3,No data,7,5,7,9,No data,1,No data
06/10/2011,5.6,29.6,-11.3,31.7,20.5,33.3,290.9,16,3,0,4,3,No data,9,No data,No data,No data,No data,No data,6,7,No data,4,3,7,No data,No data,7,8,6,7,No data,3,3,No data,3,4,3,5,7,5,4,5,4,No data,6,5,8,7,No data,3,No data
07/10/2011,16.6,12.3,-17.2,21.2,-25.7,24.8,324.3,7,4,1,4,4,No data,7,No data,No data,No data,No data,No data,6,9,No data,5,3,7,No data,8,9,6,5,7,No data,4,5,No data,3,8,3,4,7,3,4,6,4,No data,8,5,9,8,No data,3,No data
08/10/2011,16.7,15.1,-0.1,15.1,-19.1,17.9,270.3,6,5,-1,4,4,No data,10,No data,No data,No data,No data,No data,9,10,No data,4,3,8,No data,8,9,8,6,9,No data,7,5,No data,5,8,4,4,8,5,6,8,4,No data,7,6,10,9,No data,4,No data
09/10/2011,9.7,24.4,-4.1,24.8,1.7,24.8,279.6,16,4,0,2,6,No data,9,No data,No data,No data,No data,No data,9,6,No data,6,6,7,No data,9,10,18,8,10,No data,6,4,No data,9,5,7,5,8,8,7,9,4,No data,8,8,8,8,No data,3,No data
