Date,LWT,57.15736,55.79216,54.59965,51.45258,53.80489,51.462839,51.48178,53.244131,51.149617,52.411563,55.002818,50.805778,55.945589,55.865782,53.74878,52.28881,53.80378,52.619823,51.46603,51.52229,51.45258,51.617333,51.52105,51.425286,53.48152,54.97825,51.601203,52.614193,52.95473,51.744806,50.37167,50.82881,53.76559,51.45309,51.45617,53.48481,53.378622,50.90814,51.544206,53.02821,54.88361,53.54914,53.37287,53.967513
27/02/2016,2,6,NaN,NaN,25,25,25,25,25,23,24,NaN,13,14,16,22,NaN,22,25,19,23,18,NaN,22,NaN,31,20,25,15,23,24,23,15,29,22,13,29,25,NaN,16,26,18,NaN,24,21
11/04/2016,12,9,8,12,27,17,19,17,23,23,30,11,19,10,13,20,28,16,26,24,26,25,30,26,22,23,14,19,27,22,NaN,NaN,16,14,22,NaN,24,22,16,27,24,15,22,23,15
12/04/2016,22,10,4,14,12,12,14,13,16,7,14,12,15,9,12,24,12,16,18,6,6,7,10,7,3,17,16,14,12,25,NaN,NaN,10,14,6,7,19,15,8,7,21,15,15,15,17
13/04/2016,22,8,2,11,12,12,10,16,11,11,12,7,18,6,5,16,10,10,16,11,9,10,11,10,7,15,5,14,19,22,NaN,NaN,13,13,9,11,16,13,17,12,19,6,14,16,10
07/05/2016,12,13,13,20,37,27,18,21,44,18,36,NaN,20,16,14,35,32,28,31,30,32,29,32,30,27,38,21,24,26,41,NaN,17,21,29,31,25,36,41,27,29,39,17,31,37,26
10/05/2016,22,18,15,20,22,17,22,26,23,15,22,NaN,15,18,18,23,26,21,21,23,25,26,22,22,22,23,20,24,19,22,NaN,10,13,18,20,25,21,23,14,23,20,19,19,19,20
11/05/2016,12,15,15,21,31,21,11,19,30,12,29,NaN,20,16,16,23,27,21,29,28,26,NaN,23,24,22,28,19,20,29,32,NaN,12,15,21,18,27,26,28,17,28,28,18,22,23,20
12/05/2016,12,9,7,17,27,16,25,24,23,29,27,NaN,28,11,9,19,26,17,25,25,27,26,25,23,24,24,15,24,18,23,NaN,20,26,16,22,NaN,21,21,26,26,23,14,18,20,16
26/05/2016,12,7,2,6,11,3,10,9,9,10,10,7,17,7,7,9,9,6,10,12,13,13,11,12,9,9,4,9,7,14,NaN,12,14,6,8,9,8,5,NaN,11,14,4,NaN,3,5
27/05/2016,2,8,2,8,19,19,15,17,16,14,14,9,25,8,9,12,11,19,9,17,18,18,16,18,15,21,6,16,7,13,NaN,16,20,21,13,18,17,16,NaN,19,16,5,NaN,17,13
28/05/2016,12,7,5,15,17,18,22,22,12,24,16,14,20,9,9,9,15,10,12,17,21,19,21,21,19,19,6,21,10,12,NaN,32,24,17,18,14,13,12,NaN,17,16,5,NaN,18,7
03/06/2016,12,7,4,10,14,10,12,16,10,9,14,10,10,8,7,6,13,7,11,7,9,7,9,8,6,12,8,16,5,12,NaN,12,14,NaN,8,6,NaN,9,NaN,7,12,7,NaN,11,6
04/06/2016,2,10,NaN,16,24,14,23,24,23,21,26,12,21,13,13,18,25,15,22,19,18,18,19,17,17,23,15,22,13,21,NaN,17,20,NaN,20,17,NaN,22,NaN,16,23,13,NaN,16,14
14/09/2016,12,4,2,7,34,15,22,19,28,14,41,NaN,NaN,4,5,30,39,22,45,21,20,19,19,19,15,25,13,19,NaN,39,NaN,13,13,20,16,20,23,27,NaN,18,28,NaN,19,22,19
23/10/2016,12,4,1,8,9,2,12,9,5,12,7,7,21,3,5,4,10,2,8,15,15,15,12,15,12,3,4,9,7,5,NaN,13,19,5,12,15,4,5,NaN,15,5,5,5,6,4
24/10/2016,12,4,1,13,10,3,21,15,7,16,9,19,25,4,3,10,10,4,8,17,19,16,16,19,16,7,6,12,12,8,NaN,12,24,6,17,17,6,9,NaN,17,8,6,NaN,6,6
