Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
11/09/2011,-2.1,18.8,15.5,24.4,29.2,28.4,230.5,25,No data,9,11,6,4,10,6,7,No data,No data,13,No data,No data,No data,9,17,7,No data,6,No data,7,10,No data,4
12/09/2011,-1.5,28.8,2.5,29,64.3,43.3,265.1,20,No data,11,11,6,6,11,10,9,No data,No data,11,No data,No data,No data,9,20,10,No data,6,No data,8,9,No data,4
13/09/2011,5.4,26.1,-7,27,19.7,28.8,285.1,16,No data,11,12,7,6,11,11,8,No data,No data,11,No data,No data,No data,9,27,8,No data,No data,No data,5,10,No data,5
14/09/2011,13.5,14,-11,17.8,-11.5,18.7,308.3,17,No data,12,11,7,4,12,10,8,No data,No data,10,No data,No data,No data,9,22,7,No data,No data,No data,4,9,No data,2
15/09/2011,15.2,-0.3,6.7,6.8,-32.9,17.8,177,0,No data,20,17,16,9,17,9,11,No data,No data,25,No data,No data,No data,15,26,12,No data,No data,No data,6,12,7,5
16/09/2011,12.6,-0.6,15,15,21.2,18.4,177.5,24,No data,17,24,16,13,18,12,17,No data,No data,33,No data,No data,No data,21,30,14,No data,16,No data,14,14,8,8
17/09/2011,10.5,6.8,-1.8,7,61.4,31.5,284.8,20,No data,8,11,6,4,9,7,7,No data,No data,16,No data,No data,No data,10,20,6,No data,7,No data,6,6,2,3
18/09/2011,10.7,1.6,-16.5,16.6,16.5,18.5,354.5,18,No data,8,10,7,5,9,6,6,No data,No data,19,No data,No data,No data,12,14,6,No data,8,No data,6,7,0,5
19/09/2011,7.3,18.2,3.5,18.6,2.8,18.6,259.1,16,No data,11,13,7,5,11,9,8,No data,No data,15,No data,No data,No data,11,23,8,No data,9,No data,5,10,4,5
20/09/2011,9.1,20,8.8,21.9,-8.8,22.3,246.2,15,No data,11,13,10,4,12,8,6,No data,No data,14,No data,No data,No data,10,25,8,No data,10,No data,5,11,1,3
21/09/2011,7.2,28.6,8,29.8,17.5,31,254.3,16,No data,10,13,11,5,10,9,7,No data,No data,15,No data,No data,No data,12,24,7,No data,8,No data,No data,8,4,5
22/09/2011,10.2,19.4,-1.3,19.5,-24.8,23.1,274,6,No data,15,17,9,9,13,13,11,No data,No data,17,No data,No data,No data,15,29,11,No data,13,No data,No data,13,9,10
23/09/2011,7.1,12.9,15.3,20,-12.7,21,220.3,15,No data,17,18,13,8,18,13,12,No data,No data,20,No data,No data,No data,19,No data,14,No data,17,No data,No data,13,8,11
24/09/2011,5.3,13.8,12.5,18.6,-9.6,19.2,228,15,No data,16,20,17,7,20,13,15,No data,No data,19,No data,No data,No data,19,No data,18,No data,21,No data,No data,21,8,13
25/09/2011,7.2,11.4,19.2,22.4,11.2,23,210.7,15,No data,10,13,12,5,16,8,9,No data,No data,16,No data,No data,No data,15,No data,15,No data,15,No data,No data,13,5,8
26/09/2011,13,12.4,6.8,14.2,-26.8,19.5,241.3,5,No data,14,18,12,4,13,10,9,No data,No data,13,No data,No data,No data,14,No data,12,No data,10,No data,No data,10,6,6
27/09/2011,17.1,14.2,17,22.1,-22.1,24.7,219.9,15,No data,17,23,15,9,16,12,14,No data,No data,18,No data,No data,No data,21,35,14,No data,17,No data,11,15,9,13
28/09/2011,13.9,10.5,23.8,26,-19,27.7,203.8,15,No data,24,26,24,13,26,20,18,No data,No data,28,No data,No data,No data,32,38,28,No data,40,No data,21,19,21,16
29/09/2011,15.5,5.2,12.1,13.2,-22.4,17.3,203,5,No data,33,34,32,16,26,31,27,No data,No data,No data,No data,No data,No data,38,52,36,No data,35,No data,39,27,25,35
