Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
24/06/2011,16.2,3.8,6.2,7.3,-18,11.6,211.1,0,No data,11,12,10,7,9,No data,9,No data,No data,15,No data,10,No data,13,25,No data,No data,7,No data,5,8,No data,No data
25/06/2011,16.2,10.6,8.4,13.5,9,14.2,231.8,15,No data,7,12,7,5,11,No data,5,No data,No data,20,No data,8,No data,15,20,No data,No data,3,No data,7,10,No data,No data
26/06/2011,15.2,7.8,13.4,15.6,4.6,15.7,210.3,15,No data,9,11,No data,6,12,No data,8,No data,No data,16,No data,12,No data,15,22,No data,No data,10,No data,8,16,No data,No data
27/06/2011,14.2,5.9,-1.5,6.1,8.6,7.5,284.1,26,No data,18,20,No data,13,16,No data,15,No data,No data,13,No data,21,No data,24,No data,No data,No data,15,No data,21,15,No data,No data
28/06/2011,17.1,4.7,-3.2,5.6,1.5,5.7,304.3,-1,No data,13,11,No data,8,20,No data,9,No data,No data,14,No data,20,No data,19,No data,No data,No data,18,No data,11,22,No data,No data
29/06/2011,20.2,10.1,-2.3,10.4,-8.6,11.2,282.6,16,No data,13,12,9,6,9,No data,8,No data,No data,14,No data,8,No data,11,9,No data,No data,5,No data,6,9,No data,No data
30/06/2011,22.7,7.4,-6.2,9.6,-20.6,14.1,309.9,0,No data,11,13,14,6,10,No data,8,No data,No data,11,No data,9,No data,10,12,No data,No data,7,No data,5,9,No data,No data
01/07/2011,20.8,4.2,-0.1,4.2,-39,19.9,271.2,0,No data,14,11,15,7,9,No data,7,No data,No data,16,No data,11,No data,15,10,No data,No data,6,No data,7,12,No data,No data
02/07/2011,15.3,2.4,3.6,4.3,-27.3,14.3,213.9,0,No data,19,18,20,11,10,No data,13,No data,No data,23,No data,17,No data,19,22,No data,No data,8,No data,8,12,No data,No data
03/07/2011,13.8,3.3,2.7,4.3,-23.3,12.4,230.7,0,No data,18,16,19,9,14,No data,19,No data,No data,19,No data,18,No data,14,20,No data,No data,13,No data,11,14,No data,No data
04/07/2011,13.2,-2.5,10.6,10.9,-16.6,13.7,167,4,No data,23,21,20,17,14,No data,17,No data,No data,26,No data,18,No data,23,22,No data,No data,10,No data,17,13,No data,No data
05/07/2011,10.6,-0.4,16.3,16.3,22.3,19.7,178.6,24,No data,15,21,20,16,16,No data,16,No data,No data,23,No data,20,No data,21,29,No data,No data,No data,No data,18,14,No data,No data
06/07/2011,8.9,-3.8,7,7.9,57.3,29.7,151.8,20,No data,8,16,10,6,9,No data,8,No data,No data,13,No data,10,No data,14,No data,No data,No data,No data,No data,12,8,No data,No data
07/07/2011,7.1,-1.2,10.7,10.8,57.7,30.8,173.4,20,No data,8,15,9,6,8,No data,8,No data,No data,14,No data,No data,No data,13,No data,No data,No data,4,No data,10,8,No data,No data
