Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
13/01/2011,5.5,13.5,5.2,14.5,23.7,18.7,249.1,26,No data,9,18,6,11,7,16,8,No data,No data,No data,No data,8,No data,17,23,No data,No data,8,No data,11,5,No data,No data
14/01/2011,2.1,24,10.2,26.1,29.1,29.9,247,25,No data,8,13,7,8,8,17,8,No data,No data,No data,No data,9,No data,12,24,No data,No data,7,No data,10,6,No data,No data
15/01/2011,-2.1,34.6,24.2,42.2,21.2,43.5,235,15,No data,7,6,8,6,11,14,6,No data,No data,No data,No data,11,No data,8,16,No data,No data,11,No data,5,9,No data,No data
16/01/2011,3.4,27.6,12.2,30.2,6.2,30.4,246.2,15,No data,8,9,8,8,10,18,8,No data,No data,No data,No data,12,No data,10,16,No data,No data,11,No data,6,11,No data,No data
17/01/2011,14.7,11.3,0,11.4,-6,11.7,270.2,16,No data,25,22,13,14,10,19,17,No data,No data,No data,No data,14,No data,20,13,No data,No data,13,No data,10,13,No data,No data
18/01/2011,22.3,13.2,-8.1,15.5,-35.3,23.5,301.5,0,No data,16,15,16,22,14,18,11,No data,No data,No data,No data,14,No data,13,No data,No data,No data,16,No data,8,19,No data,No data
19/01/2011,25.9,5.2,2.1,5.7,-53.2,27.2,247.9,0,No data,22,33,25,22,21,19,13,No data,No data,27,No data,21,No data,17,27,No data,No data,22,No data,7,25,No data,No data
20/01/2011,29.1,5.1,1.8,5.4,-47.5,24.3,250.3,0,No data,33,31,25,28,18,29,19,No data,No data,53,No data,23,No data,21,18,No data,No data,20,No data,15,26,No data,No data
21/01/2011,33.1,4.3,-4,5.9,-43.8,22.7,312.3,0,No data,28,33,29,22,26,33,30,No data,No data,62,No data,29,No data,29,27,No data,No data,29,No data,22,33,No data,No data
22/01/2011,33.9,-1,-7.8,7.9,-45.4,24,7.7,0,No data,28,41,21,44,19,36,14,No data,No data,38,No data,19,No data,22,16,No data,No data,19,No data,13,21,No data,No data
