Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
25/04/2010,19,8.4,7.1,11,22.2,15.6,229.7,20,NaN,26,68,68,29,NaN,33,17,NaN,67,51,NaN,63,124,36,44,NaN,16,21,19,47
26/04/2010,19.2,13.1,0.9,13.2,-16,15.4,266,6,NaN,60,71,53,44,NaN,48,15,NaN,54,38,NaN,44,134,47,59,NaN,5,21,31,49
27/04/2010,18.4,7.3,17.8,19.3,-20.5,21.8,202.3,4,NaN,52,93,80,50,NaN,36,18,NaN,83,61,NaN,54,152,44,58,NaN,13,29,42,56
28/04/2010,12,14.7,14.1,20.4,12,21.2,226.2,15,NaN,42,93,84,32,NaN,46,17,NaN,64,76,NaN,51,183,49,36,NaN,11,43,40,56
29/04/2010,7.6,10.8,0.1,10.9,3.8,11,269.3,16,NaN,53,74,94,34,NaN,54,24,NaN,67,62,NaN,54,146,54,73,NaN,4,40,29,52
30/04/2010,8.7,10.3,-3.5,10.9,19.9,14.8,288.8,26,NaN,44,91,45,27,NaN,52,17,NaN,72,30,NaN,55,157,33,27,NaN,7,12,18,58
01/05/2010,13.8,-3.9,-4.1,5.7,12,8.2,43.6,20,NaN,34,50,64,37,NaN,34,14,NaN,89,40,NaN,43,97,19,26,NaN,15,13,22,42
02/05/2010,19.9,-6.1,-11.8,13.3,0.9,13.3,27.3,11,NaN,18,26,56,32,NaN,18,8,NaN,83,31,NaN,44,29,8,15,NaN,12,23,10,36
03/05/2010,24.9,-1.9,-11.7,11.9,-26,17.6,9.5,0,NaN,23,35,68,35,NaN,17,9,NaN,81,22,NaN,31,24,16,15,NaN,13,19,10,35
04/05/2010,25,4,-9.5,10.4,-25.9,16.6,337,0,NaN,58,54,93,47,NaN,36,16,NaN,61,47,NaN,61,55,37,40,NaN,28,39,21,54
05/05/2010,22.4,1.7,-7.7,7.8,-2.4,7.9,347.5,18,NaN,54,72,120,50,NaN,30,23,NaN,63,53,NaN,56,90,53,49,NaN,24,44,19,55
06/05/2010,18,-8.6,-8,11.8,5.7,12.2,47.1,11,NaN,70,55,77,62,NaN,35,28,NaN,104,40,NaN,63,64,25,35,NaN,24,34,45,45
07/05/2010,17.4,-13.7,-4.1,14.3,-9.6,15.1,73.4,12,NaN,54,51,77,52,NaN,36,16,NaN,108,41,NaN,49,45,22,35,NaN,20,40,38,37
08/05/2010,17.6,-9.6,-8.5,12.8,-14.8,14.8,48.7,1,NaN,35,23,72,36,NaN,23,11,NaN,104,32,NaN,38,35,12,21,NaN,10,33,22,41
09/05/2010,13.8,-4.2,-9.1,10,-16.3,12.9,24.5,1,NaN,29,41,49,25,NaN,18,15,NaN,59,33,NaN,38,43,16,21,NaN,13,28,19,47
10/05/2010,14.3,-2.8,-12.6,12.9,-15.3,15,12.8,8,NaN,59,82,58,56,NaN,32,28,NaN,82,38,NaN,55,42,23,34,NaN,22,35,42,57
11/05/2010,14.6,-0.8,-8.8,8.9,-4,9.1,5.5,18,NaN,63,75,70,51,NaN,35,22,NaN,74,47,NaN,55,54,30,44,NaN,31,36,26,58
12/05/2010,14.4,1.4,-0.4,1.5,-26.8,13.5,285.1,0,NaN,67,76,98,63,NaN,34,23,NaN,99,48,NaN,50,68,30,40,NaN,30,37,37,52
13/05/2010,10.3,11.3,10.3,15.3,6.2,15.6,227.8,15,NaN,50,93,97,29,NaN,41,19,NaN,75,52,NaN,59,132,52,36,NaN,15,22,32,69
14/05/2010,12.3,7.5,1,7.6,14.7,10.6,262.1,26,NaN,49,94,75,33,NaN,46,20,NaN,NaN,54,NaN,55,190,55,30,NaN,12,28,50,77
15/05/2010,13.4,14.9,0.5,14.9,-0.2,14.9,268,16,NaN,40,62,77,20,NaN,32,11,NaN,NaN,34,NaN,37,71,45,50,NaN,4,24,16,53
16/05/2010,15.2,10.2,-5,11.4,1.1,11.4,296.3,17,NaN,26,42,52,15,NaN,35,6,NaN,NaN,35,NaN,24,107,35,38,NaN,17,16,19,46
17/05/2010,20.4,7,-0.9,7.1,-24.8,14.3,277.1,0,NaN,54,55,92,38,NaN,48,12,NaN,NaN,38,NaN,41,68,46,52,NaN,25,30,26,42
18/05/2010,23.3,3.4,11.5,12,-21.7,16.2,196.7,4,NaN,81,77,125,46,NaN,43,28,NaN,99,63,NaN,56,125,34,53,NaN,18,30,24,54
19/05/2010,24.1,4.9,5.2,7.2,-23.8,13.9,223.7,0,NaN,59,76,81,49,NaN,47,21,NaN,81,56,NaN,50,148,48,50,NaN,11,24,26,NaN
20/05/2010,27,3.8,3.7,5.3,-28.8,15.3,226.2,0,NaN,66,51,135,49,NaN,42,20,NaN,69,47,NaN,39,102,48,57,NaN,23,31,37,NaN
