Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool Marton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London N. Kensington,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
11/10/2012,7.6,1.3,2.4,2.8,18.5,9.6,208.1,20,29,NaN,31,44,NaN,24,21,NaN,NaN,NaN,NaN,17,30,NaN,37,18,28,NaN,31,60,28,47,47,36,29,21,42,27,18,17,45,30,28,NaN,NaN,30,33,32,29,45,NaN,NaN
12/10/2012,10.1,5.2,-2.9,5.9,43.5,22.6,299.5,20,9,NaN,36,27,NaN,25,17,NaN,NaN,NaN,NaN,6,28,NaN,39,25,22,NaN,24,48,18,29,39,24,19,10,36,NaN,18,13,25,22,13,NaN,NaN,31,19,25,11,21,NaN,NaN
13/10/2012,9.6,0.5,-1.9,2,30.9,15.6,345.4,20,13,NaN,35,36,34,39,24,NaN,NaN,NaN,NaN,11,23,NaN,44,19,23,NaN,36,63,25,39,49,36,27,14,42,NaN,23,29,55,30,20,NaN,NaN,30,29,43,19,36,NaN,NaN
14/10/2012,8.2,-4,-11.4,12.1,23,16.7,19.3,28,9,NaN,31,44,34,40,26,NaN,NaN,NaN,NaN,14,24,NaN,25,18,23,NaN,29,60,23,40,38,30,21,9,40,NaN,27,26,50,30,22,NaN,NaN,27,24,51,20,35,NaN,NaN
15/10/2012,4.8,1,0.2,1,35.8,17.9,260.1,20,25,NaN,36,37,35,39,32,NaN,NaN,NaN,NaN,11,44,NaN,48,24,43,NaN,30,55,21,42,49,36,23,16,45,NaN,17,21,51,23,19,NaN,NaN,30,24,39,28,52,NaN,NaN
16/10/2012,1.4,5.1,-5.2,7.3,36.5,19.7,315.7,20,23,NaN,43,29,19,24,22,NaN,NaN,NaN,NaN,4,27,NaN,36,21,34,NaN,22,43,15,31,36,38,13,7,37,15,15,11,27,22,13,NaN,NaN,30,17,26,20,27,NaN,NaN
17/10/2012,1,-8.4,13.8,16.2,65.4,36.5,148.5,20,21,NaN,40,20,25,32,23,NaN,NaN,NaN,NaN,7,24,NaN,33,14,44,NaN,18,45,10,30,41,51,10,9,38,NaN,13,13,31,19,9,NaN,NaN,23,14,29,19,31,NaN,NaN
18/10/2012,6.5,-2.9,2.1,3.6,49.3,24.9,125.8,20,32,NaN,43,22,26,41,52,NaN,NaN,NaN,NaN,9,24,NaN,34,19,47,NaN,23,52,12,28,44,48,19,9,47,17,21,14,26,17,10,26,NaN,32,18,32,27,34,NaN,NaN
19/10/2012,10.6,-2.7,-1.3,3,9.6,5.6,64.2,20,16,NaN,47,51,41,54,47,NaN,NaN,NaN,NaN,20,19,NaN,50,24,51,NaN,44,65,34,56,51,46,35,16,49,32,42,42,49,35,25,43,NaN,40,30,39,40,47,NaN,NaN
20/10/2012,12.2,4.3,6,7.4,-4.9,7.8,215.7,15,26,NaN,47,39,37,48,33,NaN,NaN,NaN,NaN,20,41,NaN,49,18,38,NaN,35,59,28,47,46,49,25,11,45,24,44,26,46,29,22,30,NaN,38,37,40,25,40,NaN,NaN
